Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Plasma Exosomal miRNAs in Persons with and without Alzheimer Disease: Altered Expression and Prospects for Biomarkers.","/pubmed/26426747","Lugli G, Cohen AM, Bennett DA, Shah RC, Fields CJ, Hernandez AG, Smalheiser NR.","PLoS One. 2015 Oct 1;10(10):e0139233. doi: 10.1371/journal.pone.0139233. eCollection 2015.","PLoS One.  2015","PubMed","citation","PMID:26426747 | PMCID:PMC4591334","pubmed","26426747","create date:2015/10/02 | first author:Lugli G",
"Applying Automated MR-Based Diagnostic Methods to the Memory Clinic: A Prospective Study.","/pubmed/26401773","Klöppel S, Peter J, Ludl A, Pilatus A, Maier S, Mader I, Heimbach B, Frings L, Egger K, Dukart J, Schroeter ML, Perneczky R, Häussermann P, Vach W, Urbach H, Teipel S, Hüll M, Abdulkadir A; Alzheimer’s Disease Neuroimaging Initiative..","J Alzheimers Dis. 2015;47(4):939-54. doi: 10.3233/JAD-150334.","J Alzheimers Dis.  2015","PubMed","citation","PMID:26401773 | PMCID:PMC4923764","pubmed","26401773","create date:2015/09/25 | first author:Klöppel S",
"Magnetic resonance imaging biomarkers for the early diagnosis of Alzheimer's disease: a machine learning approach.","/pubmed/26388719","Salvatore C, Cerasa A, Battista P, Gilardi MC, Quattrone A, Castiglioni I; Alzheimer's Disease Neuroimaging Initiative..","Front Neurosci. 2015 Sep 1;9:307. doi: 10.3389/fnins.2015.00307. eCollection 2015.","Front Neurosci.  2015","PubMed","citation","PMID:26388719 | PMCID:PMC4555016","pubmed","26388719","create date:2015/09/22 | first author:Salvatore C",
"Application of advanced machine learning methods on resting-state fMRI network for identification of mild cognitive impairment and Alzheimer's disease.","/pubmed/26363784","Khazaee A, Ebrahimzadeh A, Babajani-Feremi A.","Brain Imaging Behav. 2016 Sep;10(3):799-817. doi: 10.1007/s11682-015-9448-7.","Brain Imaging Behav.  2016","PubMed","citation","PMID:26363784","pubmed","26363784","create date:2015/09/14 | first author:Khazaee A",
"Multivariate prediction of motor diagnosis in Huntington's disease: 12 years of PREDICT-HD.","/pubmed/26340420","Long JD, Paulsen JS; PREDICT-HD Investigators and Coordinators of the Huntington Study Group..","Mov Disord. 2015 Oct;30(12):1664-72. doi: 10.1002/mds.26364. Epub 2015 Sep 4.","Mov Disord.  2015","PubMed","citation","PMID:26340420 | PMCID:PMC4795466","pubmed","26340420","create date:2015/09/05 | first author:Long JD",
"Neuropsychological test selection for cognitive impairment classification: A machine learning approach.","/pubmed/26332171","Weakley A, Williams JA, Schmitter-Edgecombe M, Cook DJ.","J Clin Exp Neuropsychol. 2015;37(9):899-916. doi: 10.1080/13803395.2015.1067290.","J Clin Exp Neuropsychol.  2015","PubMed","citation","PMID:26332171 | PMCID:PMC4809360","pubmed","26332171","create date:2015/09/04 | first author:Weakley A",
"Multi-modality sparse representation-based classification for Alzheimer's disease and mild cognitive impairment.","/pubmed/26298855","Xu L, Wu X, Chen K, Yao L.","Comput Methods Programs Biomed. 2015 Nov;122(2):182-90. doi: 10.1016/j.cmpb.2015.08.004. Epub 2015 Aug 10.","Comput Methods Programs Biomed.  2015","PubMed","citation","PMID:26298855","pubmed","26298855","create date:2015/08/25 | first author:Xu L",
"Identification of Adverse Drug Events from Free Text Electronic Patient Records and Information in a Large Mental Health Case Register.","/pubmed/26273830","Iqbal E, Mallah R, Jackson RG, Ball M, Ibrahim ZM, Broadbent M, Dzahini O, Stewart R, Johnston C, Dobson RJ.","PLoS One. 2015 Aug 14;10(8):e0134208. doi: 10.1371/journal.pone.0134208. eCollection 2015.","PLoS One.  2015","PubMed","citation","PMID:26273830 | PMCID:PMC4537312","pubmed","26273830","create date:2015/08/15 | first author:Iqbal E",
"Nonadherence to Oral Antihyperglycemic Agents: Subsequent Hospitalization and Mortality among Patients with Type 2 Diabetes in Clinical Practice.","/pubmed/26262010","Zhu VJ, Tu W, Rosenman MB, Overhage JM.","Stud Health Technol Inform. 2015;216:60-3.","Stud Health Technol Inform.  2015","PubMed","citation","PMID:26262010","pubmed","26262010","create date:2015/08/12 | first author:Zhu VJ",
"Integration of Cognitive Tests and Resting State fMRI for the Individual Identification of Mild Cognitive Impairment.","/pubmed/26238814","Beltrachini L, De Marco M, Taylor ZA, Lotjonen J, Frangi AF, Venneri A.","Curr Alzheimer Res. 2015;12(6):592-603.","Curr Alzheimer Res.  2015","PubMed","citation","PMID:26238814","pubmed","26238814","create date:2015/08/05 | first author:Beltrachini L",
"Multiple kernel learning with random effects for predicting longitudinal outcomes and data integration.","/pubmed/26177419","Chen T, Zeng D, Wang Y.","Biometrics. 2015 Dec;71(4):918-28. doi: 10.1111/biom.12343. Epub 2015 Jul 14.","Biometrics.  2015","PubMed","citation","PMID:26177419 | PMCID:PMC4713389","pubmed","26177419","create date:2015/07/16 | first author:Chen T",
"Using natural language processing to provide personalized learning opportunities from trainee clinical notes.","/pubmed/26070431","Denny JC, Spickard A 3rd, Speltz PJ, Porier R, Rosenstiel DE, Powers JS.","J Biomed Inform. 2015 Aug;56:292-9. doi: 10.1016/j.jbi.2015.06.004. Epub 2015 Jun 10.","J Biomed Inform.  2015","PubMed","citation","PMID:26070431","pubmed","26070431","create date:2015/06/14 | first author:Denny JC",
"Checking the STEP-Associated Trafficking and Internalization of Glutamate Receptors for Reduced Cognitive Deficits: A Machine Learning Approach-Based Cheminformatics Study and Its Application for Drug Repurposing.","/pubmed/26066505","Jamal S, Goyal S, Shanker A, Grover A.","PLoS One. 2015 Jun 12;10(6):e0129370. doi: 10.1371/journal.pone.0129370. eCollection 2015.","PLoS One.  2015","PubMed","citation","PMID:26066505 | PMCID:PMC4466797","pubmed","26066505","create date:2015/06/13 | first author:Jamal S",
"Recognition of activities of daily living in healthy subjects using two ad-hoc classifiers.","/pubmed/26048452","Urwyler P, Rampa L, Stucki R, Büchler M, Müri R, Mosimann UP, Nef T.","Biomed Eng Online. 2015 Jun 6;14:54. doi: 10.1186/s12938-015-0050-4.","Biomed Eng Online.  2015","PubMed","citation","PMID:26048452 | PMCID:PMC4457983","pubmed","26048452","create date:2015/06/07 | first author:Urwyler P",
"Deep sparse multi-task learning for feature selection in Alzheimer's disease diagnosis.","/pubmed/25993900","Suk HI, Lee SW, Shen D; Alzheimer’s Disease Neuroimaging Initiative..","Brain Struct Funct. 2016 Jun;221(5):2569-87. doi: 10.1007/s00429-015-1059-y. Epub 2015 May 21.","Brain Struct Funct.  2016","PubMed","citation","PMID:25993900 | PMCID:PMC4714963","pubmed","25993900","create date:2015/05/23 | first author:Suk HI",
"A Robust Deep Model for Improved Classification of AD/MCI Patients.","/pubmed/25955998","Li F, Tran L, Thung KH, Ji S, Shen D, Li J.","IEEE J Biomed Health Inform. 2015 Sep;19(5):1610-6. doi: 10.1109/JBHI.2015.2429556. Epub 2015 May 4.","IEEE J Biomed Health Inform.  2015","PubMed","citation","PMID:25955998 | PMCID:PMC4573581","pubmed","25955998","create date:2015/05/09 | first author:Li F",
"Diagnosis of Cognitive Impairment Compatible with Early Diagnosis of Alzheimer's Disease. A Bayesian Network Model based on the Analysis of Oral Definitions of Semantic Categories.","/pubmed/25925692","Guerrero JM, Martínez-Tomás R, Rincón M, Peraita H.","Methods Inf Med. 2016;55(1):42-9. doi: 10.3414/ME14-01-0071. Epub 2015 Apr 30.","Methods Inf Med.  2016","PubMed","citation","PMID:25925692","pubmed","25925692","create date:2015/05/01 | first author:Guerrero JM",
"Evidence in clinical reasoning: a computational linguistics analysis of 789,712 medical case summaries 1983-2012.","/pubmed/25880840","Seidel BM, Campbell S, Bell E.","BMC Med Inform Decis Mak. 2015 Mar 21;15:19. doi: 10.1186/s12911-015-0136-8.","BMC Med Inform Decis Mak.  2015","PubMed","citation","PMID:25880840 | PMCID:PMC4381480","pubmed","25880840","create date:2015/04/17 | first author:Seidel BM",
"SimConcept: a hybrid approach for simplifying composite named entities in biomedical text.","/pubmed/25879978","Wei CH, Leaman R, Lu Z.","IEEE J Biomed Health Inform. 2015 Jul;19(4):1385-91. doi: 10.1109/JBHI.2015.2422651. Epub 2015 Apr 13.","IEEE J Biomed Health Inform.  2015","PubMed","citation","PMID:25879978 | PMCID:PMC4543296","pubmed","25879978","create date:2015/04/17 | first author:Wei CH",
"Classification of primary progressive aphasia: Do unsupervised data mining methods support a logopenic variant?","/pubmed/25871701","Maruta C, Pereira T, Madeira SC, De Mendonça A, Guerreiro M.","Amyotroph Lateral Scler Frontotemporal Degener. 2015 Jun;16(3-4):147-59. doi: 10.3109/21678421.2015.1026266. Epub 2015 Apr 14.","Amyotroph Lateral Scler Frontotemporal Degener.  2015","PubMed","citation","PMID:25871701","pubmed","25871701","create date:2015/04/15 | first author:Maruta C",
"Automated Video Analysis of Handwashing Behavior as a Potential Marker of Cognitive Health in Older Adults.","/pubmed/25794404","Ashraf A, Taati B.","IEEE J Biomed Health Inform. 2016 Mar;20(2):682-90. doi: 10.1109/JBHI.2015.2413358. Epub 2015 Mar 16.","IEEE J Biomed Health Inform.  2016","PubMed","citation","PMID:25794404","pubmed","25794404","create date:2015/03/21 | first author:Ashraf A",
"Domain Transfer Learning for MCI Conversion Prediction.","/pubmed/25751861","Cheng B, Liu M, Zhang D, Munsell BC, Shen D.","IEEE Trans Biomed Eng. 2015 Jul;62(7):1805-1817. doi: 10.1109/TBME.2015.2404809. Epub 2015 Mar 2.","IEEE Trans Biomed Eng.  2015","PubMed","citation","PMID:25751861 | PMCID:PMC4474791","pubmed","25751861","create date:2015/03/10 | first author:Cheng B",
"Gaussian process classification of Alzheimer's disease and mild cognitive impairment from resting-state fMRI.","/pubmed/25731993","Challis E, Hurley P, Serra L, Bozzali M, Oliver S, Cercignani M.","Neuroimage. 2015 May 15;112:232-243. doi: 10.1016/j.neuroimage.2015.02.037. Epub 2015 Feb 28.","Neuroimage.  2015","PubMed","citation","PMID:25731993","pubmed","25731993","create date:2015/03/04 | first author:Challis E",
"Voxel Level Survival Analysis of Grey Matter Volume and Incident Mild Cognitive Impairment or Alzheimer's Disease.","/pubmed/25720412","Zeifman LE, Eddy WF, Lopez OL, Kuller LH, Raji C, Thompson PM, Becker JT.","J Alzheimers Dis. 2015;46(1):167-78. doi: 10.3233/JAD-150047.","J Alzheimers Dis.  2015","PubMed","citation","PMID:25720412 | PMCID:PMC4550581","pubmed","25720412","create date:2015/02/28 | first author:Zeifman LE",
"Multimodal manifold-regularized transfer learning for MCI conversion prediction.","/pubmed/25702248","Cheng B, Liu M, Suk HI, Shen D, Zhang D; Alzheimer’s Disease Neuroimaging Initiative..","Brain Imaging Behav. 2015 Dec;9(4):913-26. doi: 10.1007/s11682-015-9356-x.","Brain Imaging Behav.  2015","PubMed","citation","PMID:25702248 | PMCID:PMC4546576","pubmed","25702248","create date:2015/02/24 | first author:Cheng B",
"Predicting Prodromal Alzheimer's Disease in Subjects with Mild Cognitive Impairment Using Machine Learning Classification of Multimodal Multicenter Diffusion-Tensor and Magnetic Resonance Imaging Data.","/pubmed/25644739","Dyrba M, Barkhof F, Fellgiebel A, Filippi M, Hausner L, Hauenstein K, Kirste T, Teipel SJ; EDSD study group..","J Neuroimaging. 2015 Sep-Oct;25(5):738-47. doi: 10.1111/jon.12214. Epub 2015 Jan 28.","J Neuroimaging.  2015","PubMed","citation","PMID:25644739","pubmed","25644739","create date:2015/02/04 | first author:Dyrba M",
"Tracking discourse complexity preceding Alzheimer's disease diagnosis: a case study comparing the press conferences of Presidents Ronald Reagan and George Herbert Walker Bush.","/pubmed/25633673","Berisha V, Wang S, LaCross A, Liss J.","J Alzheimers Dis. 2015;45(3):959-63. doi: 10.3233/JAD-142763.","J Alzheimers Dis.  2015","PubMed","citation","PMID:25633673","pubmed","25633673","create date:2015/01/31 | first author:Berisha V",
"Predicting conversion from MCI to AD with FDG-PET brain images at different prodromal stages.","/pubmed/25625698","Cabral C, Morgado PM, Campos Costa D, Silveira M; Alzheimer׳s Disease Neuroimaging Initiative..","Comput Biol Med. 2015 Mar;58:101-9. doi: 10.1016/j.compbiomed.2015.01.003. Epub 2015 Jan 12.","Comput Biol Med.  2015","PubMed","citation","PMID:25625698","pubmed","25625698","create date:2015/01/28 | first author:Cabral C",
"Prediction of brain age suggests accelerated atrophy after traumatic brain injury.","/pubmed/25623048","Cole JH, Leech R, Sharp DJ; Alzheimer's Disease Neuroimaging Initiative..","Ann Neurol. 2015 Apr;77(4):571-81. doi: 10.1002/ana.24367.","Ann Neurol.  2015","PubMed","citation","PMID:25623048 | PMCID:PMC4403966","pubmed","25623048","create date:2015/01/28 | first author:Cole JH",
"Autonomous unobtrusive detection of mild cognitive impairment in older adults.","/pubmed/25585407","Akl A, Taati B, Mihailidis A.","IEEE Trans Biomed Eng. 2015 May;62(5):1383-1394. doi: 10.1109/TBME.2015.2389149. Epub 2015 Jan 9.","IEEE Trans Biomed Eng.  2015","PubMed","citation","PMID:25585407 | PMCID:PMC4406793","pubmed","25585407","create date:2015/01/15 | first author:Akl A",
"Recommendations service for chronic disease patient in multimodel sensors home environment.","/pubmed/25559934","Hussain M, Ali T, Khan WA, Afzal M, Lee S, Latif K.","Telemed J E Health. 2015 Mar;21(3):185-99. doi: 10.1089/tmj.2014.0028. Epub 2015 Jan 5. Review.","Telemed J E Health.  2015","PubMed","citation","PMID:25559934 | PMCID:PMC4365435","pubmed","25559934","create date:2015/01/07 | first author:Hussain M",
"Framingham Coronary Heart Disease Risk Score Can be Predicted from Structural Brain Images in Elderly Subjects.","/pubmed/25520654","Rondina JM, Squarzoni P, Souza-Duran FL, Tamashiro-Duran JH, Scazufca M, Menezes PR, Vallada H, Lotufo PA, de Toledo Ferraz Alves TC, Busatto Filho G.","Front Aging Neurosci. 2014 Dec 1;6:300. doi: 10.3389/fnagi.2014.00300. eCollection 2014.","Front Aging Neurosci.  2014","PubMed","citation","PMID:25520654 | PMCID:PMC4249461","pubmed","25520654","create date:2014/12/19 | first author:Rondina JM",
"Integrative analysis of multi-dimensional imaging genomics data for Alzheimer's disease prediction.","/pubmed/25368574","Zhang Z, Huang H, Shen D; Alzheimer's Disease Neuroimaging Initiative..","Front Aging Neurosci. 2014 Oct 17;6:260. doi: 10.3389/fnagi.2014.00260. eCollection 2014.","Front Aging Neurosci.  2014","PubMed","citation","PMID:25368574 | PMCID:PMC4201101","pubmed","25368574","create date:2014/11/05 | first author:Zhang Z",
"Atomic connectomics signatures for characterization and differentiation of mild cognitive impairment.","/pubmed/25355371","Ou J, Xie L, Li X, Zhu D, Terry DP, Puente AN, Jiang R, Chen Y, Wang L, Shen D, Zhang J, Miller LS, Liu T.","Brain Imaging Behav. 2015 Dec;9(4):663-77. doi: 10.1007/s11682-014-9320-1.","Brain Imaging Behav.  2015","PubMed","citation","PMID:25355371","pubmed","25355371","create date:2014/10/31 | first author:Ou J",
"A universal and efficient method to compute maps from image-based prediction models.","/pubmed/25320819","Sabuncu MR.","Med Image Comput Comput Assist Interv. 2014;17(Pt 3):353-60.","Med Image Comput Comput Assist Interv.  2014","PubMed","citation","PMID:25320819","pubmed","25320819","create date:2014/10/17 | first author:Sabuncu MR",
"Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects.","/pubmed/25312773","Moradi E, Pepe A, Gaser C, Huttunen H, Tohka J; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage. 2015 Jan 1;104:398-412. doi: 10.1016/j.neuroimage.2014.10.002. Epub 2014 Oct 12.","Neuroimage.  2015","PubMed","citation","PMID:25312773 | PMCID:PMC5957071","pubmed","25312773","create date:2014/10/15 | first author:Moradi E",
"Empowering imaging biomarkers of Alzheimer's disease.","/pubmed/25260848","Gutman BA, Wang Y, Yanovsky I, Hua X, Toga AW, Jack CR Jr, Weiner MW, Thompson PM; Alzheimer's Disease Neuroimaging Initiative..","Neurobiol Aging. 2015 Jan;36 Suppl 1:S69-80. doi: 10.1016/j.neurobiolaging.2014.05.038. Epub 2014 Aug 27.","Neurobiol Aging.  2015","PubMed","citation","PMID:25260848 | PMCID:PMC4268333","pubmed","25260848","create date:2014/09/28 | first author:Gutman BA",
"Contrastive conversational analysis of language production by Alzheimer's and control people.","/pubmed/25160273","Boyé M, Grabar N, Thi Tran M.","Stud Health Technol Inform. 2014;205:682-6.","Stud Health Technol Inform.  2014","PubMed","citation","PMID:25160273","pubmed","25160273","create date:2014/08/28 | first author:Boyé M",
"An efficient approach for differentiating Alzheimer's disease from normal elderly based on multicenter MRI using gray-level invariant features.","/pubmed/25140532","Li M, Oishi K, He X, Qin Y, Gao F, Mori S; Alzheimer's Disease Neuroimaging Initiative..","PLoS One. 2014 Aug 20;9(8):e105563. doi: 10.1371/journal.pone.0105563. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25140532 | PMCID:PMC4139346","pubmed","25140532","create date:2014/08/21 | first author:Li M",
"Skull-stripping with machine learning deformable organisms.","/pubmed/25124851","Prasad G, Joshi AA, Feng A, Toga AW, Thompson PM, Terzopoulos D.","J Neurosci Methods. 2014 Oct 30;236:114-24. doi: 10.1016/j.jneumeth.2014.07.023. Epub 2014 Aug 12.","J Neurosci Methods.  2014","PubMed","citation","PMID:25124851 | PMCID:PMC4169789","pubmed","25124851","create date:2014/08/16 | first author:Prasad G",
"Guiding functional connectivity estimation by structural connectivity in MEG: an application to discrimination of conditions of mild cognitive impairment.","/pubmed/25111472","Pineda-Pardo JA, Bruña R, Woolrich M, Marcos A, Nobre AC, Maestú F, Vidaurre D.","Neuroimage. 2014 Nov 1;101:765-77. doi: 10.1016/j.neuroimage.2014.08.002. Epub 2014 Aug 8.","Neuroimage.  2014","PubMed","citation","PMID:25111472 | PMCID:PMC4312351","pubmed","25111472","create date:2014/08/12 | first author:Pineda-Pardo JA",
"Plasma biosignature and brain pathology related to persistent cognitive impairment in late-life depression.","/pubmed/25092249","Diniz BS, Sibille E, Ding Y, Tseng G, Aizenstein HJ, Lotrich F, Becker JT, Lopez OL, Lotze MT, Klunk WE, Reynolds CF, Butters MA.","Mol Psychiatry. 2015 May;20(5):594-601. doi: 10.1038/mp.2014.76. Epub 2014 Aug 5.","Mol Psychiatry.  2015","PubMed","citation","PMID:25092249 | PMCID:PMC4494754","pubmed","25092249","create date:2014/08/06 | first author:Diniz BS",
"Defining multivariate normative rules for healthy aging using neuroimaging and machine learning: an application to Alzheimer's disease.","/pubmed/25079801","Andrade de Oliveira A, Carthery-Goulart MT, Oliveira Júnior PP, Carrettiero DC, Sato JR.","J Alzheimers Dis. 2015;43(1):201-12. doi: 10.3233/JAD-140189.","J Alzheimers Dis.  2015","PubMed","citation","PMID:25079801","pubmed","25079801","create date:2014/08/01 | first author:Andrade de Oliveira A",
"Evaluating the Predictive Power of Multivariate Tensor-based Morphometry in Alzheimers Disease Progression via Convex Fused Sparse Group Lasso.","/pubmed/25076826","Tsao S, Gajawelli N, Zhou J, Shi J, Ye J, Wang Y, Lepore N.","Proc SPIE Int Soc Opt Eng. 2014 Mar 21;9034:90342L.","Proc SPIE Int Soc Opt Eng.  2014","PubMed","citation","PMID:25076826 | PMCID:PMC4112760","pubmed","25076826","create date:2014/08/01 | first author:Tsao S",
"Implementation and evaluation of an Asbru-based decision support system for adjuvant treatment in breast cancer.","/pubmed/25063336","Eccher C, Seyfang A, Ferro A.","Comput Methods Programs Biomed. 2014 Nov;117(2):308-21. doi: 10.1016/j.cmpb.2014.06.021. Epub 2014 Jul 11.","Comput Methods Programs Biomed.  2014","PubMed","citation","PMID:25063336","pubmed","25063336","create date:2014/07/27 | first author:Eccher C",
"Features and machine learning classification of connected speech samples from patients with autopsy proven Alzheimer's disease with and without additional vascular pathology.","/pubmed/25061045","Rentoumi V, Raoufian L, Ahmed S, de Jager CA, Garrard P.","J Alzheimers Dis. 2014;42 Suppl 3:S3-17. doi: 10.3233/JAD-140555.","J Alzheimers Dis.  2014","PubMed","citation","PMID:25061045","pubmed","25061045","create date:2014/07/26 | first author:Rentoumi V",
"A Bayesian network decision model for supporting the diagnosis of dementia, Alzheimer׳s disease and mild cognitive impairment.","/pubmed/24946259","Seixas FL, Zadrozny B, Laks J, Conci A, Muchaluat Saade DC.","Comput Biol Med. 2014 Aug;51:140-58. doi: 10.1016/j.compbiomed.2014.04.010. Epub 2014 May 28. Review.","Comput Biol Med.  2014","PubMed","citation","PMID:24946259","pubmed","24946259","create date:2014/06/20 | first author:Seixas FL",
"Examining the multifactorial nature of a cognitive process using Bayesian brain-behavior modeling.","/pubmed/24880892","Chen R, Herskovits EH.","Comput Med Imaging Graph. 2015 Apr;41:117-25. doi: 10.1016/j.compmedimag.2014.05.001. Epub 2014 May 10.","Comput Med Imaging Graph.  2015","PubMed","citation","PMID:24880892 | PMCID:PMC4226745","pubmed","24880892","create date:2014/06/02 | first author:Chen R",
"Multiple instance learning for classification of dementia in brain MRI.","/pubmed/24858570","Tong T, Wolz R, Gao Q, Guerrero R, Hajnal JV, Rueckert D; Alzheimer’s Disease Neuroimaging Initiative..","Med Image Anal. 2014 Jul;18(5):808-18. doi: 10.1016/j.media.2014.04.006. Epub 2014 May 5.","Med Image Anal.  2014","PubMed","citation","PMID:24858570","pubmed","24858570","create date:2014/05/27 | first author:Tong T",
"Cerebrospinal fluid metabolomics reveals altered waste clearance and accelerated aging in HIV patients with neurocognitive impairment.","/pubmed/24752083","Cassol E, Misra V, Dutta A, Morgello S, Gabuzda D.","AIDS. 2014 Jul 17;28(11):1579-91. doi: 10.1097/QAD.0000000000000303.","AIDS.  2014","PubMed","citation","PMID:24752083 | PMCID:PMC4086755","pubmed","24752083","create date:2014/04/23 | first author:Cassol E",
"Construction of a clinical decision support system for undergoing surgery based on domain ontology and rules reasoning.","/pubmed/24730353","Bau CT, Chen RC, Huang CY.","Telemed J E Health. 2014 May;20(5):460-72. doi: 10.1089/tmj.2013.0221. Epub 2014 Apr 14.","Telemed J E Health.  2014","PubMed","citation","PMID:24730353 | PMCID:PMC4011426","pubmed","24730353","create date:2014/04/16 | first author:Bau CT",
"Multivariate data analysis and machine learning in Alzheimer's disease with a focus on structural magnetic resonance imaging.","/pubmed/24718104","Falahati F, Westman E, Simmons A.","J Alzheimers Dis. 2014;41(3):685-708. doi: 10.3233/JAD-131928. Review.","J Alzheimers Dis.  2014","PubMed","citation","PMID:24718104","pubmed","24718104","create date:2014/04/11 | first author:Falahati F",
"ApoE4 effects on automated diagnostic classifiers for mild cognitive impairment and Alzheimer's disease.","/pubmed/24634832","Apostolova LG, Hwang KS, Kohannim O, Avila D, Elashoff D, Jack CR Jr, Shaw L, Trojanowski JQ, Weiner MW, Thompson PM; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage Clin. 2014 Jan 4;4:461-72. doi: 10.1016/j.nicl.2013.12.012. eCollection 2014.","Neuroimage Clin.  2014","PubMed","citation","PMID:24634832 | PMCID:PMC3952354","pubmed","24634832","create date:2014/03/19 | first author:Apostolova LG",
"Multiple instance learning for classification of dementia in brain MRI.","/pubmed/24579190","Tong T, Wolz R, Gao Q, Hajnal JV, Rueckert D.","Med Image Comput Comput Assist Interv. 2013;16(Pt 2):599-606.","Med Image Comput Comput Assist Interv.  2013","PubMed","citation","PMID:24579190","pubmed","24579190","create date:2014/03/01 | first author:Tong T",
"Latent information in fluency lists predicts functional decline in persons at risk for Alzheimer disease.","/pubmed/24556551","Clark DG, Kapur P, Geldmacher DS, Brockington JC, Harrell L, DeRamus TP, Blanton PD, Lokken K, Nicholas AP, Marson DC.","Cortex. 2014 Jun;55:202-18. doi: 10.1016/j.cortex.2013.12.013. Epub 2014 Jan 16.","Cortex.  2014","PubMed","citation","PMID:24556551 | PMCID:PMC4039569","pubmed","24556551","create date:2014/02/22 | first author:Clark DG",
"Cognitive and physical training for the elderly: evaluating outcome efficacy by means of neurophysiological synchronization.","/pubmed/24472698","Frantzidis CA, Ladas AK, Vivas AB, Tsolaki M, Bamidis PD.","Int J Psychophysiol. 2014 Jul;93(1):1-11. doi: 10.1016/j.ijpsycho.2014.01.007. Epub 2014 Jan 25.","Int J Psychophysiol.  2014","PubMed","citation","PMID:24472698","pubmed","24472698","create date:2014/01/30 | first author:Frantzidis CA",
"Ontology driven decision support for the diagnosis of mild cognitive impairment.","/pubmed/24468160","Zhang X, Hu B, Ma X, Moore P, Chen J.","Comput Methods Programs Biomed. 2014 Mar;113(3):781-91. doi: 10.1016/j.cmpb.2013.12.023. Epub 2014 Jan 6.","Comput Methods Programs Biomed.  2014","PubMed","citation","PMID:24468160","pubmed","24468160","create date:2014/01/29 | first author:Zhang X",
"Lexical factors and cerebral regions influencing verbal fluency performance in MCI.","/pubmed/24384308","Clark DG, Wadley VG, Kapur P, DeRamus TP, Singletary B, Nicholas AP, Blanton PD, Lokken K, Deshpande H, Marson D, Deutsch G.","Neuropsychologia. 2014 Feb;54:98-111. doi: 10.1016/j.neuropsychologia.2013.12.010. Epub 2013 Dec 30.","Neuropsychologia.  2014","PubMed","citation","PMID:24384308","pubmed","24384308","create date:2014/01/05 | first author:Clark DG",
"SimConcept: A Hybrid Approach for Simplifying Composite Named Entities in Biomedicine.","/pubmed/25844401","Wei CH, Leaman R, Lu Z.","ACM BCB. 2014;2014:138-146.","ACM BCB.  2014","PubMed","citation","PMID:25844401 | PMCID:PMC4384177","pubmed","25844401","create date:2014/01/01 | first author:Wei CH",
"Automatically annotating topics in transcripts of patient-provider interactions via machine learning.","/pubmed/24285151","Wallace BC, Laws MB, Small K, Wilson IB, Trikalinos TA.","Med Decis Making. 2014 May;34(4):503-12. doi: 10.1177/0272989X13514777. Epub 2013 Nov 27.","Med Decis Making.  2014","PubMed","citation","PMID:24285151 | PMCID:PMC3991772","pubmed","24285151","create date:2013/11/29 | first author:Wallace BC",
"Alzheimer's disease risk assessment using large-scale machine learning methods.","/pubmed/24250789","Casanova R, Hsu FC, Sink KM, Rapp SR, Williamson JD, Resnick SM, Espeland MA; Alzheimer's Disease Neuroimaging Initiative..","PLoS One. 2013 Nov 8;8(11):e77949. doi: 10.1371/journal.pone.0077949. eCollection 2013.","PLoS One.  2013","PubMed","citation","PMID:24250789 | PMCID:PMC3826736","pubmed","24250789","create date:2013/11/20 | first author:Casanova R",
"Graphical neuroimaging informatics: application to Alzheimer's disease.","/pubmed/24203652","Van Horn JD, Bowman I, Joshi SH, Greer V.","Brain Imaging Behav. 2014 Jun;8(2):300-10. doi: 10.1007/s11682-013-9273-9.","Brain Imaging Behav.  2014","PubMed","citation","PMID:24203652 | PMCID:PMC4012008","pubmed","24203652","create date:2013/11/10 | first author:Van Horn JD",
"Accurate multimodal probabilistic prediction of conversion to Alzheimer's disease in patients with mild cognitive impairment.","/pubmed/24179825","Young J, Modat M, Cardoso MJ, Mendelson A, Cash D, Ourselin S; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage Clin. 2013 May 19;2:735-45. doi: 10.1016/j.nicl.2013.05.004. eCollection 2013.","Neuroimage Clin.  2013","PubMed","citation","PMID:24179825 | PMCID:PMC3777690","pubmed","24179825","create date:2013/11/02 | first author:Young J",
"Quantitative evaluation of disease progression in a longitudinal mild cognitive impairment cohort.","/pubmed/24121959","Runtti H, Mattila J, van Gils M, Koikkalainen J, Soininen H, Lötjönen J; Alzheimer’s Disease Neuroimaging Initiative..","J Alzheimers Dis. 2014;39(1):49-61. doi: 10.3233/JAD-130359.","J Alzheimers Dis.  2014","PubMed","citation","PMID:24121959","pubmed","24121959","create date:2013/10/15 | first author:Runtti H",
