PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Dyrba, Martin; Barkhof, Frederik; Fellgiebel, Andreas; Filippi, Massimo; Hausner, Lucrezia; Hauenstein, Karlheinz; Kirste, Thomas; Teipel, Stefan J.		EDSD Study Grp		Frisoni, Giovanni B/K-1360-2016; Pievani, Michela/C-6021-2011; Dyrba, Martin/M-4454-2018; Filippi, Massimo/K-1755-2018; Agosta, Federica/J-9908-2016	Frisoni, Giovanni B/0000-0002-6419-1753; Pievani, Michela/0000-0002-1794-8987; Dyrba, Martin/0000-0002-3353-3167; Filippi, Massimo/0000-0002-5485-0479; Agosta, Federica/0000-0003-3121-4979			Predicting Prodromal Alzheimer's Disease in Subjects with Mild Cognitive Impairment Using Machine Learning Classification of Multimodal Multicenter Diffusion-Tensor and Magnetic Resonance Imaging Data								JOURNAL OF NEUROIMAGING				25	5			738	747		10.1111/jon.12214					SEP-OCT 2015	2015										25	3	0	15	0	27			1051-2284	1552-6569		WOS:000359783900006	25644739	
J	Farzan, Ali; Mashohor, Syansiah; Ramli, Abd Rahman; Mahmud, Rozi					Mashohor, Syamsiah/0000-0003-0851-6127; Farzan, Ali/0000-0003-1901-0084; Mahmud, Rozi/0000-0002-9543-3452			Boosting diagnosis accuracy of Alzheimer's disease using high dimensional recognition of longitudinal brain atrophy patterns								BEHAVIOURAL BRAIN RESEARCH				290				124	130		10.1016/j.bbr.2015.04.010					SEP 1 2015	2015										21	0	0	10	1	21			0166-4328	1872-7549		WOS:000356551000014	25889456	
J	Munteanu, Cristian R.; Fernandez-Lozano, Carlos; Mato Abad, Virginia; Pita Fernandez, Salvador; Alvarez-Linera, Juan; Antonio Hernandez-Tamames, Juan; Pazos, Alejandro				Hernandez-Tamames, Juan/N-5319-2014; Fernandez-Lozano, Carlos/D-2469-2014; Pazos Sierra, Alejandro/K-8927-2017; Mato Abad, Virginia/D-5253-2013; Munteanu, Cristian/G-1714-2011	Hernandez-Tamames, Juan/0000-0003-0027-9518; Fernandez-Lozano, Carlos/0000-0003-0413-5677; Pazos Sierra, Alejandro/0000-0003-2324-238X; Mato Abad, Virginia/0000-0001-7161-4382; Munteanu, Cristian-Robert/0000-0002-5628-2268			Classification of mild cognitive impairment and Alzheimer's Disease with machine-learning techniques using H-1 Magnetic Resonance Spectroscopy data								EXPERT SYSTEMS WITH APPLICATIONS				42	15-16			6205	6214		10.1016/j.eswa.2015.03.011					SEP 2015	2015										14	0	0	6	0	14			0957-4174	1873-6793		WOS:000355063700018		
J	Denny, Joshua C.; Spickard, Anderson; Speltz, Peter J., III; Porier, Renee; Rosenstiel, Donna E.; Powers, James S.					Denny, Josh/0000-0002-3049-7332			Using natural language processing to provide personalized learning opportunities from trainee clinical notes								JOURNAL OF BIOMEDICAL INFORMATICS				56				292	299		10.1016/j.jbi.2015.06.004					AUG 2015	2015										3	0	0	0	0	3			1532-0464	1532-0480		WOS:000359752100026	26070431	
J	Cole-Lewis, Heather; Varghese, Arun; Sanders, Amy; Schwarz, Mary; Pugatch, Jillian; Augustson, Erik					Pugatch, Jillian/0000-0001-9103-5484; Schwarz, Mary/0000-0003-0482-7323			Assessing Electronic Cigarette-Related Tweets for Sentiment and Content Using Supervised Machine Learning								JOURNAL OF MEDICAL INTERNET RESEARCH				17	8					e208	10.2196/jmir.4392					AUG 2015	2015										15	0	0	4	0	15			1438-8871			WOS:000360306600011	26307512	
J	Koopman, Bevan; Karimi, Sarvnaz; Nguyen, Anthony; McGuire, Rhydwyn; Muscatello, David; Kemp, Madonna; Truran, Donna; Zhang, Ming; Thackway, Sarah				Nguyen, Anthony/B-5913-2009	Nguyen, Anthony/0000-0002-6215-6954; Koopman, Bevan/0000-0001-5577-3391			Automatic classification of diseases from free-text death certificates for real-time surveillance								BMC MEDICAL INFORMATICS AND DECISION MAKING				15						53	10.1186/s12911-015-0174-2					JUL 15 2015	2015										9	0	0	2	1	10			1472-6947			WOS:000357851000001	26174442	
J	Thanh-Phuong Nguyen; Priami, Corrado; Caberlotto, Laura								Novel drug target identification for the treatment of dementia using multi-relational association mining								SCIENTIFIC REPORTS				5						11104	10.1038/srep11104					JUL 8 2015	2015										6	0	1	4	0	7			2045-2322			WOS:000357571100001	26154857	
J	Wei, Chih-Hsuan; Leaman, Robert; Lu, Zhiyong								SimConcept: A Hybrid Approach for Simplifying Composite Named Entities in Biomedical Text								IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS				19	4			1385	1391		10.1109/JBHI.2015.2422651					JUL 2015	2015										6	0	0	4	0	6			2168-2194			WOS:000358620500024	25879978	
J	Cheng, Bo; Liu, Mingxia; Zhang, Daoqiang; Munsell, Brent C.; Shen, Dinggang				liu, mingxia/E-7824-2017				Domain Transfer Learning for MCI Conversion Prediction								IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING				62	7			1805	1817		10.1109/TBME.2015.2404809					JUL 2015	2015										32	1	0	14	0	33			0018-9294	1558-2531		WOS:000356310700014	25751861	
J	Jamal, Salma; Goyal, Sukriti; Shanker, Asheesh; Grover, Abhinav								Checking the STEP-Associated Trafficking and Internalization of Glutamate Receptors for Reduced Cognitive Deficits: A Machine Learning Approach-Based Cheminformatics Study and Its Application for Drug Repurposing								PLOS ONE				10	6					e0129370	10.1371/journal.pone.0129370					JUN 12 2015	2015										3	0	0	3	0	3			1932-6203			WOS:000356327000068	26066505	
J	Urwyler, Prabitha; Rampa, Luca; Stucki, Reto; Buechler, Marcel; Mueri, Rene; Mosimann, Urs P.; Nef, Tobias				Mosimann, Urs/B-5470-2014; Urwyler, Prabitha/B-2378-2015; Muri, Rene/E-9320-2012	Mosimann, Urs/0000-0002-4791-6927; Urwyler, Prabitha/0000-0002-7641-8898; Muri, Rene/0000-0001-6990-4188			Recognition of activities of daily living in healthy subjects using two ad-hoc classifiers								BIOMEDICAL ENGINEERING ONLINE				14						54	10.1186/s12938-015-0050-4					JUN 6 2015	2015										7	0	0	2	0	7			1475-925X			WOS:000356215100001	26048452	
J	Maruta, Carolina; Pereira, Telma; Madeira, Sara C.; De Mendonca, Alexandre; Guerreiro, Manuela				Madeira, Sara/C-5494-2008	Madeira, Sara/0000-0002-1459-8096; Maruta, Carolina/0000-0003-3359-379X			Classification of primary progressive aphasia: Do unsupervised data mining methods support a logopenic variant?								AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION				16	3-4			147	159		10.3109/21678421.2015.1026266					JUN 2015	2015										3	0	0	1	0	3			2167-8421	2167-9223		WOS:000355977800001	25871701	
J	Dyrba, Martin; Grothe, Michel; Kirste, Thomas; Teipel, Stefan J.				Dyrba, Martin/M-4454-2018; Grothe, Michel/S-7374-2018	Dyrba, Martin/0000-0002-3353-3167; Grothe, Michel/0000-0003-2600-9022			Multimodal Analysis of Functional and Structural Disconnection in Alzheimer's Disease Using Multiple Kernel SVM								HUMAN BRAIN MAPPING				36	6			2118	2131		10.1002/hbm.22759					JUN 2015	2015										54	0	0	31	0	54			1065-9471	1097-0193		WOS:000353972000008	25664619	
J	Liu, Shih-Hung; Chen, Kuan-Yu; Chen, Berlin; Wang, Hsin-Min; Yen, Hsu-Chun; Hsu, Wen-Lian								Combining Relevance Language Modeling and Clarity Measure for Extractive Speech Summarization								IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING				23	6			957	969		10.1109/TASLP.2015.2414820					JUN 2015	2015										12	0	0	0	0	12			2329-9290			WOS:000354536200001		
J	Mitchell, Marcia T.								Semantic processing of English sentences using statistical computation based on neurophysiological models								FRONTIERS IN PHYSIOLOGY				6						135	10.3389/fphys.2015.00135					MAY 22 2015	2015										0	0	0	0	0	0			1664-042X			WOS:000357591700001	26106331	
J	Challis, Edward; Hurley, Peter; Serra, Laura; Bozzali, Marco; Oliver, Seb; Cercignani, Mara				Serra, Laura/K-5637-2016	Serra, Laura/0000-0002-2717-1286; Bozzali, Marco/0000-0002-0568-2026			Gaussian process classification of Alzheimer's disease and mild cognitive impairment from resting-state fMRI								NEUROIMAGE				112				232	243		10.1016/j.neuroimage.2015.02.037					MAY 15 2015	2015										57	2	0	31	1	58			1053-8119	1095-9572		WOS:000353203400024	25731993	
J	Diniz, B. S.; Sibille, E.; Ding, Y.; Tseng, G.; Aizenstein, H. J.; Lotrich, F.; Becker, J. T.; Lopez, O. L.; Lotze, M. T.; Klunk, W. E.; Reynolds, C. F.; Butters, M. A.				Aizenstein, Howard/P-4432-2017	Aizenstein, Howard/0000-0003-4897-6582; Diniz, Breno/0000-0003-0653-1905			Plasma biosignature and brain pathology related to persistent cognitive impairment in late-life depression								MOLECULAR PSYCHIATRY				20	5			594	601		10.1038/mp.2014.76					MAY 2015	2015										45	0	0	24	2	45			1359-4184	1476-5578		WOS:000353706400009	25092249	
J	Lin, Qiang; Zhang, Daqing; Connelly, Kay; Ni, Hongbo; Yu, Zhiwen; Zhou, Xingshe								Disorientation detection by mining GPS trajectories for cognitively-impaired elders								PERVASIVE AND MOBILE COMPUTING				19				71	85		10.1016/j.pmcj.2014.01.003					MAY 2015	2015										12	0	0	0	0	12			1574-1192	1873-1589		WOS:000353830400005		
J	Akl, Ahmad; Taati, Babak; Mihailidis, Alex					Taati, Babak/0000-0001-9763-4293; Mihailidis, Alex/0000-0003-2233-0919			Autonomous Unobtrusive Detection of Mild Cognitive Impairment in Older Adults								IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING				62	5			1383	1394		10.1109/TBME.2015.2389149					MAY 2015	2015										26	0	0	7	0	26			0018-9294	1558-2531		WOS:000353513400016	25585407	
J	Zeiss, Caroline J.								Improving the predictive value of interventional animal models data								DRUG DISCOVERY TODAY				20	4			475	482		10.1016/j.drudis.2014.10.015					APR 2015	2015										6	0	0	4	0	6			1359-6446	1878-5832		WOS:000354581300011	25448761	
J	Cole, James H.; Leech, Robert; Sharp, David J.		Alzheimer's Dis Neuroimaging Init			Cole, James/0000-0003-1908-5588			Prediction of Brain Age Suggests Accelerated Atrophy after Traumatic Brain Injury								ANNALS OF NEUROLOGY				77	4			571	581		10.1002/ana.24367					APR 2015	2015										53	2	0	39	0	55			0364-5134	1531-8249		WOS:000352102500004	25623048	
J	Chen, Rong; Herskovits, Edward H.					herskovits, edward/0000-0001-9445-1774			Examining the multifactorial nature of a cognitive process using Bayesian brain-behavior modeling								COMPUTERIZED MEDICAL IMAGING AND GRAPHICS				41		SI		117	125		10.1016/j.compmedimag.2014.05.001					APR 2015	2015										2	0	0	2	0	2			0895-6111	1879-0771		WOS:000351979400013	24880892	
J	Liu, Siqi; Liu, Sidong; Cai, Weidong; Che, Hangyu; Pujol, Sonia; Kikinis, Ron; Feng, Dagan; Fulham, Michael J.		ADNI			Liu, Siqi/0000-0002-4675-5498; Liu, Sidong/0000-0002-2371-0713			Multimodal Neuroimaging Feature Learning for Multiclass Diagnosis of Alzheimer's Disease								IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING				62	4			1132	1140		10.1109/TBME.2014.2372011					APR 2015	2015										80	5	0	25	0	84			0018-9294	1558-2531		WOS:000351769700013	25423647	
J	Khodabakhsh, Ali; Yesil, Fatih; Guner, Ekrem; Demiroglu, Cenk					Khodabakhsh, Ali/0000-0002-2873-4140			Evaluation of linguistic and prosodic features for detection of Alzheimer's disease in Turkish conversational speech								EURASIP JOURNAL ON AUDIO SPEECH AND MUSIC PROCESSING										9	10.1186/s13636-015-0052-y					MAR 25 2015	2015										2	0	0	0	0	2			1687-4722			WOS:000352646500001		
J	Chang, Xiaoying; Liu, Kai; Liu, Feng								Performance analysis of a k-round contention resolution scheme for WLANs								ELECTRONICS LETTERS				51	6			532	533		10.1049/el.2014.4152					MAR 19 2015	2015										4	0	0	0	0	4			0013-5194	1350-911X		WOS:000351271700054		
J	Li, Lin; Deng, Yi-na; Yuan, Yang; Feng, Wen-jiang								Research on channel selection algorithms in cognitive radio networks								JOURNAL OF NETWORKS				10	3			159	163		10.4304/jnw.10.3.159-163					MAR 2015	2015										0	0	0	0	0	0			1796-2056			WOS:000358595300005		
J	Chifu, Adrian-Gabriel; Hristea, Florentina; Mothe, Josiane; Popescu, Marius								Word sense discrimination in information retrieval: A spectral clustering-based approach								INFORMATION PROCESSING & MANAGEMENT				51	2	SI		16	31		10.1016/j.ipm.2014.10.007					MAR 2015	2015										5	1	0	1	0	6			0306-4573	1873-5371		WOS:000351320100002		
J	Lopez-de-Ipina, Karmele; Sole-Casals, Jordi; Eguiraun, Harkaitz; Alonso, J. B.; Travieso, C. M.; Ezeiza, Aitzol; Barroso, Nora; Ecay-Torres, Miriam; Martinez-Lage, Pablo; Beitia, Blanca				Sole-Casals, Jordi/B-7754-2008; Lopez-de-Ipina, Karmele/K-4379-2013; Barroso, Nora/C-1082-2018; Travieso-Gonzalez, Carlos M./N-5967-2014; Alonso-Hernandez, Jesus B./N-5977-2014	Sole-Casals, Jordi/0000-0002-6534-1979; Lopez-de-Ipina, Karmele/0000-0003-0742-0932; Barroso, Nora/0000-0003-1172-0559; Travieso-Gonzalez, Carlos M./0000-0002-4621-2768; Ezeiza, Aitzol/0000-0001-5060-9525; Alonso-Hernandez, Jesus B./0000-0002-7866-585X; Eguiraun, Harkaitz/0000-0002-4014-6376			Feature selection for spontaneous speech analysis to aid in Alzheimer's disease diagnosis: A fractal dimension approach								COMPUTER SPEECH AND LANGUAGE				30	1			43	60		10.1016/j.csl.2014.08.002					MAR 2015	2015										11	1	0	3	0	12			0885-2308	1095-8363		WOS:000345556600005		
J	Cabral, Carlos; Morgado, Pedro M.; Costa, Durval Campos; Silveira, Margarida		Alzheimer's Dis Neuroimaging Initi		Morgado, Pedro/K-9363-2014; C. Costa, Durval/F-1744-2018	Morgado, Pedro/0000-0002-0955-6510; C. Costa, Durval/0000-0001-8039-4924			Predicting conversion from MCI to AD with FDG-PET brain images at different prodromal stages								COMPUTERS IN BIOLOGY AND MEDICINE				58				101	109		10.1016/j.compbiomed.2015.01.003					MAR 1 2015	2015										25	0	0	12	1	25			0010-4825	1879-0534		WOS:000350941300012	25625698	
J	Hussain, Maqbool; Ali, Taqdir; Khan, Wajahat Ali; Afzal, Muhammad; Lee, Sungyoung; Latif, Khalid				Afzal, Muhammad/Q-6539-2017; Afzal, Muhammad/D-3741-2019	Afzal, Muhammad/0000-0002-7851-2327; Afzal, Muhammad/0000-0002-7851-2327; Latif, Khalid/0000-0002-2629-0785			Recommendations Service for Chronic Disease Patient in Multimodel Sensors Home Environment								TELEMEDICINE AND E-HEALTH				21	3			185	199		10.1089/tmj.2014.0028					MAR 1 2015	2015										5	0	0	1	0	5			1530-5627	1556-3669		WOS:000350882900008	25559934	
J	Lopez-de-Ipina, K.; Alonso, J. B.; Sole-Casals, J.; Barroso, N.; Henriquez, P.; Faundez-Zanuy, M.; Travieso, C. M.; Ecay-Torres, M.; Martinez-Lage, P.; Eguiraun, H.				Barroso, Nora/C-1082-2018; Henriquez Rodriguez, Patricia/H-5290-2015; Sole-Casals, Jordi/B-7754-2008; Faundez-Zanuy, Marcos/F-6503-2012; Lopez-de-Ipina, Karmele/K-4379-2013; Travieso-Gonzalez, Carlos M./N-5967-2014	Barroso, Nora/0000-0003-1172-0559; Henriquez Rodriguez, Patricia/0000-0002-4422-5354; Sole-Casals, Jordi/0000-0002-6534-1979; Faundez-Zanuy, Marcos/0000-0003-0605-1282; Lopez-de-Ipina, Karmele/0000-0003-0742-0932; Travieso-Gonzalez, Carlos M./0000-0002-4621-2768; Eguiraun, Harkaitz/0000-0002-4014-6376			On Automatic Diagnosis of Alzheimer's Disease Based on Spontaneous Speech Analysis and Emotional Temperature								COGNITIVE COMPUTATION				7	1	SI		44	55		10.1007/s12559-013-9229-9					FEB 2015	2015										21	0	0	3	1	22			1866-9956	1866-9964		WOS:000349525500006		
J	Jurkiewicz, J.; Nawrocki, J.				Nawrocki, Jerzy/I-5690-2012				Automated events identification in use cases								INFORMATION AND SOFTWARE TECHNOLOGY				58				110	122		10.1016/j.infsof.2014.09.011					FEB 2015	2015										2	0	0	0	0	2			0950-5849	1873-6025		WOS:000347022800007		
B	Safdar, Tauqeer; Hasbulah, Halabi B.; Rehan, Maaz						Ariff, MIM; Abdullah, MN; Rahim, SKNA; Arshad, NI; Jaafar, J; Aziz, IA		Effect of Reinforcement Learning on Routing of Cognitive Radio Ad-Hoc Networks								2015 INTERNATIONAL SYMPOSIUM ON MATHEMATICAL SCIENCES AND COMPUTING RESEARCH (ISMSC)								42	48							2015	2015						International Symposium on Mathematical Sciences and Computing Research (iSMSC)International Symposium on Mathematical Sciences and Computing Research (iSMSC)	MAY 19-20, 2015MAY 19-20, 2015	Univ Teknologi Mara; Sains Komputer & Matematik Fakulti; Univ Teknologi Petronas; IEEE; IEEE Comp Soc, Malaysia Comp ChapterUniv Teknologi Mara; Sains Komputer & Matematik Fakulti; Univ Teknologi Petronas; IEEE; IEEE Comp Soc, Malaysia Comp Chapter	Ipoh, MALAYSIAIpoh, MALAYSIA	0	0	0	0	0	0					978-1-4799-7894-6	WOS:000386903700007		
S	Rajab, Samer A.; Balid, Walid; Al Kalaa, Mohamad O.; Refai, Hazem H.			IEEE					Energy Detection and Machine Learning for the Identification of Wireless MAC Technologies								2015 INTERNATIONAL WIRELESS COMMUNICATIONS & MOBILE COMPUTING CONFERENCE (IWCMC)		International Wireless Communications and Mobile Computing Conference						1440	1446							2015	2015						11th IEEE International Wireless Communications and Mobile Computing Conference (IEEE IWCMC)11th IEEE International Wireless Communications and Mobile Computing Conference (IEEE IWCMC)	AUG 24-25, 2015AUG 24-25, 2015	IEEE; IEEE Croatia Sect; Univ DubrovnikIEEE; IEEE Croatia Sect; Univ Dubrovnik	Dubrovnik, CROATIADubrovnik, CROATIA	6	0	0	0	0	6			2376-6492		978-1-4799-5344-8	WOS:000381477900246		
B	Tanwongvarl, Chayaphon; Chantaraskul, Soamsiri			IEEE					Performance Comparison of Learning Techniques for Intelligent Channel Assignment in Cognitive Wireless Sensor Networks								2015 SEVENTH INTERNATIONAL CONFERENCE ON UBIQUITOUS AND FUTURE NETWORKS								503	507							2015	2015						International Conference on Ubiquitous and Future NetworksInternational Conference on Ubiquitous and Future Networks	JUL 07-10, 2015JUL 07-10, 2015	IEEE; IEEE Comm Soc; KICS; SAMSUNG ELECT; LG Elect; ERICSSON; LG; MODACOM; ETRI; NIA; olleh kt; SK telecom; LG UIEEE; IEEE Comm Soc; KICS; SAMSUNG ELECT; LG Elect; ERICSSON; LG; MODACOM; ETRI; NIA; olleh kt; SK telecom; LG U	Sapporo, JAPANSapporo, JAPAN	2	0	0	0	0	2					978-1-4799-8993-5	WOS:000380475500112		
B	Xue, Haozhou; Gao, Feifei			IEEE					A Machine Learning based Spectrum-Sensing Algorithm Using Sample Covariance Matrix								PROCEEDINGS OF THE 2015 10TH INTERNATIONAL CONFERENCE ON COMMUNICATIONS AND NETWORKING IN CHINA CHINACOM 2015								476	480							2015	2015						10th International Conference on Communications and Networking in China (CHINACOM)10th International Conference on Communications and Networking in China (CHINACOM)	AUG 15-17, 2015AUG 15-17, 2015		Shanghai, PEOPLES R CHINAShanghai, PEOPLES R CHINA	5	0	0	0	0	5					978-1-4799-8795-5	WOS:000382550000088		
B	Ganguly, Debasis; Roy, Dwaipayan; Mitra, Mandar; Jones, Gareth J. F.			ACM		Jones, Gareth/0000-0003-2923-8365			A Word Embedding based Generalized Language Model for Information Retrieval								SIGIR 2015: PROCEEDINGS OF THE 38TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL								795	798		10.1145/2766462.2767780					2015	2015						38th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR)38th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR)	AUG 09-13, 2015AUG 09-13, 2015	Assoc Comp Machinery Special Interest Grp Informat RetrievalAssoc Comp Machinery Special Interest Grp Informat Retrieval	Santiago, CHILESantiago, CHILE	55	1	0	1	0	55					978-1-4503-3621-5	WOS:000382307300094		
S	Di Sorbo, Andrea; Panichella, Sebastiano; Visaggio, Corrado A.; Di Penta, Massimiliano; Canfora, Gerardo; Gall, Harald C.	Cohen, M; Grunske, L; Whalen, M				Di Penta, Massimiliano/0000-0002-0340-9747; Di Sorbo, Andrea/0000-0002-3192-739X; Canfora, Gerardo/0000-0003-0049-1279			Development Emails Content Analyzer: Intention Mining in Developer Discussions								2015 30TH IEEE/ACM INTERNATIONAL CONFERENCE ON AUTOMATED SOFTWARE ENGINEERING (ASE)		IEEE ACM International Conference on Automated Software Engineering						12	23		10.1109/ASE.2015.12					2015	2015						30th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)30th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)	NOV 09-13, 2015NOV 09-13, 2015	IEEE; IEEE Comp Soc; ACM; ACM Special Interest Grp Software Engn; IEEE Comp Soc Tech Council Software Engn; ACM SIGAIIEEE; IEEE Comp Soc; ACM; ACM Special Interest Grp Software Engn; IEEE Comp Soc Tech Council Software Engn; ACM SIGAI	Lincoln, NELincoln, NE	7	0	0	0	0	7			1527-1366		978-1-5090-0025-8	WOS:000382380700002		
